"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.006"
"Max F Estimate","2.309"
"Best F Estimate","0.006"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","0.27"
"Flimit Basis","?"
"FMSY","0.27"
"FMSY Basis","?"
"F target","0.27"
"F target Basis","?"
"F/Flimit","0.0222222222222222"
"F/FMSY","0.02"
"F/Ftarget","0.0222222222222222"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","20"
"Max B. Estimate","3415"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","476"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","1092"
"Blimit Basis","?"
"BMSY","2,184"
"BMSY Basis","?"
"B/Blimit","0.244505494505494"
"B/BMSY","0.12"
"Stock Level (relative) to BMSY","ABOVE"
